date,address,value,cumulative_sum,chain,arkhamEntity,arkhamLabel,price
2024-01-17,1Ln3GviVWebcnnD74TRKaAKZbAGKXGnhu,37.75340742,37.75340742,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,1M3gzq9oJZBbWRjANeWjnrK4is3ERL9Xtg,1000.0,1000.0,bitcoin,BlackRock,IBIT Bitcoin ETF,42636.0
2024-01-17,1Mf2KCS4tUMrHi4sobX18NXLezgBbxgR2v,1.0,1.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,1MkLPWh9ZqBQX4swdhmoeNvQnYqufwCfhD,-1000.000033,0.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,1N4MVfKsDXV5XR9GRsdxTRhmMQYHnPakGG,1.0,1.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,1N7LeCWYYvxLKtDki4ymeSNBuzojCj9CCz,464.9906422,464.9906422,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,1NNeie6XqvUyB3dhdGFCpGkVt3KNBh2soP,-1000.00115,0.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,1P3iYecCPVnwwNbEpWp5y3HiwTW9DGS2xD,1100.0,1100.0,bitcoin,BlackRock,IBIT Bitcoin ETF,42636.0
2024-01-17,32TiohXoCmHr87xVm3E9A3sLiWBJjYn1gf,1229.922515,5379.922615,bitcoin,Fidelity,FBTC Bitcoin ETF,42636.0
2022-05-10,33oxyJj3rUyY9h9A2LMev8hGp9LfTPRFPT,100.4999544,100.4999544,bitcoin,U.S. Government,Potapenko/Turogin Funds Seized Address,30269.588
2023-01-06,35gKpz5HL2Bm9Md7Xc8LiohxsaY4Bk3jEM,0.0,0.0,bitcoin,Grayscale,Coinbase Prime Deposit,16929.51
2024-01-17,3A1mvU9GSc9cWQxicofHFBAKDGVyA3v5g4,131.1719126,174.8960132,bitcoin,Fidelity,FBTC Bitcoin ETF,42636.0
2024-01-17,3NpXph8WN1U9hwXjg1bRtzTff1tPR2Gpw4,1000.0,6556.723613,bitcoin,Fidelity,FBTC Bitcoin ETF,42636.0
2022-11-09,bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6,4.78E-5,69370.17844,bitcoin,U.S. Government,Silk Road Individual X FBI Confiscated Funds,18562.354
2022-07-09,bc1qazcm763858nkj2dj986etajv6wquslv8uxwczt,5.47E-6,94643.3046,bitcoin,U.S. Government,Bitfinex Hack Recovery (FBI),21858.818
2021-01-03,13HbteZkgdSCtkHwuJvQHCmF7SuL1Kkua5,5.47E-6,1935.000011,bitcoin,Grayscale,Bitcoin Trust,32163.824
2021-01-03,13dgHtkrDu6fnaTEsg9yyi1rh1NWTz3ifK,5.47E-6,1900.000005,bitcoin,Grayscale,Bitcoin Trust,32163.824
2021-01-03,13sUsKAEvDmQSZExUiXuLEYMrCqHEdM9KL,1552.727805,1552.727805,bitcoin,Grayscale,Bitcoin Trust,32163.824
2021-01-03,156yzkJ7vRb9TH3N1M8X4pvSkV4WqrWUgz,5.47E-6,1500.000005,bitcoin,Grayscale,Bitcoin Trust,32163.824
2021-01-03,168GWUvMf4xxDtwJYNnMW7woyezvirYLZu,5.47E-6,1919.348995,bitcoin,Grayscale,Bitcoin Trust,32163.824
2021-01-03,16axhfzXV4iFh6AbPfSgew6VnZbtwqvBY,1500.000005,1500.000005,bitcoin,Grayscale,Bitcoin Trust,32163.824
2020-02-06,16xPtubShHueTRk5PMWcf4dCb9CqGgXc8z,0.01,0.01,bitcoin,Grayscale,Bitcoin Trust,9592.184
2020-02-06,17kGrz5hfDfy3jFD32TjV3ge7jVgeRq9is,0.01,0.01,bitcoin,Grayscale,Bitcoin Trust,9592.184
2020-02-06,17rF6Z6ZQo1XqDtAdgGXAK6P5r7N8VGpGk,5799.990008,5799.990008,bitcoin,Grayscale,Bitcoin Trust,9592.184
2021-01-03,18ztM7LiAUyiA6jsfnQqx9N7iKK9QYXVEg,5.47E-6,1829.423557,bitcoin,Grayscale,Bitcoin Trust,32163.824
2020-02-06,19e932rjxp85QwC1jQT7kb1yE3eNNCTAUH,5699.99,5699.99,bitcoin,Grayscale,Bitcoin Trust,9592.184
2021-01-03,1AG3WSgDc74DbrR7YNaLqZDtPYmnLMyE9J,5.47E-6,1500.000005,bitcoin,Grayscale,Bitcoin Trust,32163.824
2021-01-03,1BfSCGYyDe14oRpcNsK14AcmAPDy3wdag,5.47E-6,2340.000016,bitcoin,Grayscale,Bitcoin Trust,32163.824
2021-01-03,1BfzLUUKMZfZYWd5iunNqisCidQuW4aqih,5.47E-6,1933.440122,bitcoin,Grayscale,Bitcoin Trust,32163.824
2020-02-06,1CNMErb3iJjdDcfzoMwterYZ2eYz7cQrL3,0.01,0.01,bitcoin,Grayscale,Bitcoin Trust,9592.184
2021-01-03,1CPSpG2vhDGN1H1pSTL6hxGPPWFaSinRoS,5.47E-6,1500.000005,bitcoin,Grayscale,Bitcoin Trust,32163.824
2021-01-03,1D5DL9qtEXAstvPEmJPichuZkgRUJCWeXB,-3052.727805,0.0,bitcoin,Grayscale,Bitcoin Trust,32163.824
2021-01-03,1DYWqXNwMmaFpKJrcRZLTeyymVt8CMh7zy,5.47E-6,1936.136614,bitcoin,Grayscale,Bitcoin Trust,32163.824
2020-02-06,1DzzMDCaFK7hsLdK7HNxqnAGjHyxcMKJkm,0.01,0.01,bitcoin,Grayscale,Bitcoin Trust,9592.184
2021-01-03,1EMd3fsqYSXEoN6YE2c6aPG8DAdHUpQAPT,1500.000005,1500.000005,bitcoin,Grayscale,Bitcoin Trust,32163.824
2020-02-06,1EP9bpT9khUrWWaTzpk4BbsiJztzh6Wmcd,0.01,0.01,bitcoin,Grayscale,Bitcoin Trust,9592.184
2021-01-03,1EZdSsN8K5rivCzytyDmCKSxHbh5jdwpZf,5.47E-6,2334.222235,bitcoin,Grayscale,Bitcoin Trust,32163.824
2020-02-06,1FAe2dppJ8ddHdPTCJ8HudBvb9ufATPka1,0.01,0.01,bitcoin,Grayscale,Bitcoin Trust,9592.184
2021-01-03,1Fw8ogXtM6Y9tJmT2uSo7KGwKVopwpWAGE,5.47E-6,1752.05805,bitcoin,Grayscale,Bitcoin Trust,32163.824
2021-01-03,1GCZpkLTbmEtBpkTSpqm2P5qDCuqUK9xgh,5.47E-6,1938.732194,bitcoin,Grayscale,Bitcoin Trust,32163.824
2021-01-03,1GVz5NSvRH2yYQAgqQxrZdRqC3G7rCVfC,-3039.692336,0.0,bitcoin,Grayscale,Bitcoin Trust,32163.824
2021-01-03,1H8huYL1D2dyyBjEzF7TJY28NTNBMMdsVQ,1505.971202,1505.971202,bitcoin,Grayscale,Bitcoin Trust,32163.824
2021-01-03,1Hch3R7x5RCXDFoGYnooxrdCmZ8BmPEe6Q,5.47E-6,1500.000038,bitcoin,Grayscale,Bitcoin Trust,32163.824
2020-02-06,1Hqs4Yo4kTvpyFe29AB2yWQobV8v68b2nW,2.8630163,55.61762292,bitcoin,Grayscale,Digital Large Cap Fund,9592.184
2020-02-06,1JAXANUtTPvM9piFrmbLYJC9DoQtteQ4Cq,5699.99,5699.99,bitcoin,Grayscale,Bitcoin Trust,9592.184
2021-01-03,1JksVFodmUCCniW2HUyd1UcjT71aF77Sf5,-3000.000038,0.0,bitcoin,Grayscale,Bitcoin Trust,32163.824
2021-01-03,1K2guRFpTGfnu3t5177zZFD9Dgw2jyDe1o,-3005.971202,0.0,bitcoin,Grayscale,Bitcoin Trust,32163.824
2021-01-03,1K9Vms5GdM8ckkXuEKxY5q8EL6YhW2WxHC,1500.000005,1500.000005,bitcoin,Grayscale,Bitcoin Trust,32163.824
2021-01-03,1LM6pJy15JNhyjNpWeUYkZirhVCeRraGEC,5.47E-6,1500.000005,bitcoin,Grayscale,Bitcoin Trust,32163.824
2021-01-03,1LgQoPqqVMFF9sYzeLAKeJu25GaUjqPB8K,5.47E-6,1500.000005,bitcoin,Grayscale,Bitcoin Trust,32163.824
2021-01-03,1LquNSDbCmaVKnwVBNGdvYq3kQ6zvoVWN9,1500.000038,1500.000038,bitcoin,Grayscale,Bitcoin Trust,32163.824
2021-01-03,1MAz8tvVRyqrP7ndgGZAQPqvyoXuYAuywo,-3000.000038,0.0,bitcoin,Grayscale,Bitcoin Trust,32163.824
2020-02-06,1MMsX5qUEv9ZsZcZEZ6ZCdV797AX9SvrEC,0.01,0.01,bitcoin,Grayscale,Bitcoin Trust,9592.184
2020-02-06,1NEUbmUZfUQuzWCJs9TU33VdFzHn3zXCgY,0.01,0.01,bitcoin,Grayscale,Bitcoin Trust,9592.184
2021-01-03,1NN5n7hTyg59VERjfxPnvDjShBv3TsLvyj,5.47E-6,1770.553116,bitcoin,Grayscale,Digital Large Cap Fund,32163.824
2021-01-03,1NUYSWV1n6qqeF9mMDLd1B94icv95Xck2m,1500.000005,1500.000005,bitcoin,Grayscale,Bitcoin Trust,32163.824
2021-01-03,1NfheMFDXue7p5NTeU6z1tpzfSRZP5sR6w,1539.692336,1539.692336,bitcoin,Grayscale,Bitcoin Trust,32163.824
2021-01-03,1P2SFDSR96XrNVRTZK9fvsNJdnAaj7T9Ln,5.47E-6,1900.000005,bitcoin,Grayscale,Bitcoin Trust,32163.824
2021-01-03,1P9mhTVXjEgoa34D6AKTxfFRrkQXREzyuJ,5.47E-6,1780.366806,bitcoin,Grayscale,Digital Large Cap Fund,32163.824
2020-02-06,1PEEX5Zug9QmJmjbBfHDdfw638ysjqBR8d,0.01,0.01,bitcoin,Grayscale,Bitcoin Trust,9592.184
2021-01-03,1PK33tAhHhqVCjEgSBJPgGzpZroqaU3yro,1500.000005,1500.000005,bitcoin,Grayscale,Bitcoin Trust,32163.824
2020-04-04,1PXcjT3KRQ4FAAcjzbcZ9edz9S9pSyy2Bx,6.0E-6,203.9500263,bitcoin,U.S. Government,Gery Shanlon Seized Funds,6732.852
2021-01-03,1Q2SYQCfbtXkgQcfr8ecVt9cwNYb5xos1T,1500.000038,1500.000038,bitcoin,Grayscale,Bitcoin Trust,32163.824
2021-01-03,1Q59ahEnKmwvtv4xCeauPKjt98gpexdRwt,5.47E-6,1900.000011,bitcoin,Grayscale,Bitcoin Trust,32163.824
2020-02-06,1QCTtkkw5ni8R6PWWEvyddgbyt8cmHf2i9,0.01,0.01,bitcoin,Grayscale,Bitcoin Trust,9592.184
2021-01-03,1tpm4xG6HtFHXnqjRvpjqbEdGkqRUfAVU,5.47E-6,1500.000027,bitcoin,Grayscale,Bitcoin Trust,32163.824
2023-08-31,129nzLMwMR3761QRqZDueFEguBGpmSk2jH,-1000.000044,0.0,bitcoin,Grayscale,Bitcoin Trust,26017.0
2020-11-03,12wHM6gYmFgNSYKi1manUws6B6QcwA1Acp,5.47E-6,3424.675681,bitcoin,Grayscale,Bitcoin Trust,13558.361
2023-08-31,168DkM8pkUWWQLZkCTFM5ZhVHBy1LCdmo6,852.6666599,852.6666599,bitcoin,Grayscale,Bitcoin Trust,26017.0
